    74  7658.3240  7660.4365 13054.0864 ThI        17.946   18.090   18.234   55.022   55.166   55.310
    74  7660.8900  7663.0032 13049.7139 ThI        19.067   19.211   19.355   55.064   55.208   55.352
    74  7670.0400  7672.1556 13034.1464 ArI        23.088   23.232   23.376   55.210   55.354   55.498
    74  7678.1260  7680.2438 13020.4200 ThI        26.655   26.799   26.943   55.324   55.468   55.612
    74  7710.2690  7712.3955 12966.1400 ThI        41.128   41.272   41.416   55.657   55.801   55.945
    74  7713.9370  7716.0645 12959.9746 ThI        42.808   42.952   43.096   55.694   55.838   55.982
    75  7514.6518  7516.7211 13303.6731 ArI        -0.176   -0.032    0.112   53.755   53.899   54.043
    75  7525.5068  7527.5790 13284.4837 ThII        4.517    4.661    4.805   53.995   54.139   54.283
    75  7549.3138  7551.3924 13242.5908 ThI        14.877   15.021   15.165   54.470   54.614   54.758
    75  7589.3151  7591.4045 13172.7930 ArII       32.762   32.906   33.050   55.062   55.206   55.350
    75  7598.2054  7600.2972 13157.3802 ThI        36.825   36.969   37.113   55.151   55.295   55.439
    75  7607.8232  7609.9176 13140.7468 ThI        41.262   41.406   41.550   55.229   55.373   55.517
    75  7625.7053  7627.8045 13109.9322 ThI        49.633   49.777   49.921   55.329   55.473   55.617
    75  7627.1749  7629.2745 13107.4062 ThI        50.328   50.472   50.616   55.334   55.478   55.622
    75  7630.3125  7632.4130 13102.0164 ThI        51.814   51.958   52.102   55.344   55.488   55.632
    75  7635.1060  7637.2078 13093.7907 ArI        54.092   54.236   54.380   55.355   55.499   55.643
    75  7636.1746  7638.2766 13091.9584 ThI        54.600   54.744   54.888   55.356   55.500   55.644
    76  7418.5499  7420.5932 13476.0115 ThI         1.014    1.158    1.302   53.377   53.521   53.665
    76  7428.9405  7430.9866 13457.1632 ThI         5.563    5.707    5.851   53.609   53.753   53.897
    76  7430.2533  7432.2998 13454.7856 ThI         6.139    6.283    6.427   53.637   53.781   53.925
    76  7435.3683  7437.4162 13445.5297 ArI         8.384    8.528    8.672   53.745   53.889   54.033
    76  7436.2970  7438.3451 13443.8505 ArI         8.793    8.937    9.081   53.764   53.908   54.052
    76  7444.7489  7446.7993 13428.5880 ThI        12.524   12.668   12.812   53.934   54.078   54.222
    76  7447.8488  7449.9000 13422.9989 ThI        13.899   14.043   14.187   53.993   54.137   54.281
    76  7461.8746  7463.9296 13397.7683 Th         20.169   20.313   20.457   54.244   54.388   54.532
    76  7481.3544  7483.4147 13362.8837 ThI        29.009   29.153   29.297   54.532   54.676   54.820
    76  7483.6256  7485.6865 13358.8282 ThI        30.050   30.194   30.338   54.560   54.704   54.848
    76  7503.8691  7505.9355 13322.7898 ArI        39.425   39.569   39.713   54.767   54.911   55.055
    76  7514.6518  7516.7211 13303.6731 ArI        44.498   44.642   44.786   54.844   54.988   55.132
    76  7525.5068  7527.5790 13284.4837 ThII       49.666   49.810   49.954   54.899   55.043   55.187
    77  7324.8073  7326.8254 13648.4760 ThI         2.141    2.285    2.429   52.994   53.138   53.282
    77  7328.2850  7330.3040 13641.9990 ThI         3.682    3.826    3.970   53.074   53.218   53.362
    77  7341.1515  7343.1740 13618.0895 ThI         9.401    9.545    9.689   53.355   53.499   53.643
    77  7353.2930  7355.3187 13595.6039 ArI        14.846   14.990   15.134   53.597   53.741   53.885
    77  7372.1183  7374.1491 13560.8866 ArI        23.409   23.553   23.697   53.924   54.068   54.212
    77  7376.8772  7378.9093 13552.1384 ThI        25.596   25.740   25.884   53.995   54.139   54.283
    77  7380.4263  7382.4594 13545.6215 ArII       27.234   27.378   27.522   54.046   54.190   54.334
    77  7383.9805  7386.0145 13539.1015 ArI        28.879   29.023   29.167   54.093   54.237   54.381
    77  7385.5006  7387.5350 13536.3148 ThI        29.585   29.729   29.873   54.113   54.257   54.401
    77  7392.9801  7395.0165 13522.6202 ArI        33.069   33.213   33.357   54.203   54.347   54.491
    77  7393.4377  7395.4743 13521.7832 ThII       33.283   33.427   33.571   54.208   54.352   54.496
    77  7402.2521  7404.2910 13505.6820 ThI        37.424   37.568   37.712   54.297   54.441   54.585
    77  7412.3368  7414.3785 13487.3072 ArI        42.207   42.351   42.495   54.380   54.524   54.668
    77  7418.5499  7420.5932 13476.0115 ThI        45.181   45.325   45.469   54.421   54.565   54.709
    77  7428.9405  7430.9866 13457.1632 ThI        50.199   50.343   50.487   54.471   54.615   54.759
    77  7430.2533  7432.2998 13454.7856 ThI        50.837   50.981   51.125   54.476   54.620   54.764
    77  7435.3683  7437.4162 13445.5297 ArI        53.330   53.474   53.618   54.491   54.635   54.779
    77  7436.2970  7438.3451 13443.8505 ArI        53.784   53.928   54.072   54.493   54.637   54.781
